City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Ribeira Grande,PT,58.66,broken clouds,38.5167,-28.7,Quinta da Meia Eira
27,Ponta Do Sol,PT,57.99,scattered clouds,32.6667,-17.1,Hotel do Campo
54,Fortuna,US,55.0,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
102,Abu Kamal,SY,56.75,clear sky,34.4506,40.9171,محطة التلفاز
104,Praia Da Vitoria,PT,57.2,scattered clouds,38.7333,-27.0667,Hotel Branco I
128,Vila Franca Do Campo,PT,55.99,few clouds,37.7167,-25.4333,Pestana Bahia Praia
177,Bomet,KE,58.55,light rain,-0.7813,35.3416,Mosop Annex club
183,Santander,ES,53.6,broken clouds,43.4647,-3.8044,Abba Santander Hotel
194,Ilam,NP,50.41,clear sky,26.9167,87.9167,Chiyabari Cottage
200,Khuzdar,PK,50.95,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
217,Codrington,AU,58.55,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
226,Dharchula,IN,50.36,clear sky,29.85,80.5333,Mahara Hotel
227,Ponta Delgada,PT,57.0,few clouds,37.7333,-25.6667,Vila Nova Hotel
231,Tiznit,MA,50.88,overcast clouds,29.5833,-9.5,
233,Sakakah,SA,50.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
234,Tezu,IN,57.7,clear sky,27.9167,96.1667,Circuit House
245,Gat,IL,55.99,few clouds,31.61,34.7642,OlusHome
262,Tongzi,CN,54.09,overcast clouds,28.7829,105.0877,
269,Adrar,MR,58.35,clear sky,20.5022,-10.0711,
277,Barcelos,PT,55.4,scattered clouds,41.5388,-8.6151,Hotel Do Terço
282,Pilani,IN,55.31,clear sky,28.3684,75.6041,Hotel Sunshine
283,Nalut,LY,57.92,clear sky,30.3333,10.85,
292,Avera,US,50.0,clear sky,33.194,-82.5271,
293,Lata,PT,55.0,light rain,40.1629,-8.3327,Casa Maquia
295,Arifwala,PK,56.32,clear sky,30.294,73.0735,Rao Noman adv. Office
297,Cascais,PT,57.0,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
314,Lake City,US,51.8,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
322,Almunecar,ES,57.0,broken clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
333,Buraydah,SA,51.8,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
352,Ribeira Brava,PT,57.99,scattered clouds,32.65,-17.0667,Hotel do Campo
355,Naze,JP,59.0,few clouds,28.3667,129.4833,奄美ポートタワーホテル
386,Tigzirt,DZ,53.22,few clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
404,Girne,CY,53.6,broken clouds,35.3417,33.3167,Lavanta Residence
418,Colares,PT,57.0,light rain,38.7992,-9.4469,Arribas Sintra Hotel
428,Espanola,US,53.01,clear sky,35.9911,-106.0806,Santa Claran Hotel
450,Ninghai,CN,55.99,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
