City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.0,96,100,1.99,overcast clouds
1,Karabulak,RU,43.3036,44.8964,60.01,82,5,8.95,clear sky
2,Dikson,RU,73.5069,80.5464,11.75,95,19,7.54,few clouds
3,Te Anau,NZ,-45.4167,167.7167,58.05,97,100,2.01,light rain
4,Hervey Bay,AU,-25.2986,152.8535,64.99,92,100,3.0,overcast clouds
5,Ribeira Grande,PT,38.5167,-28.7,64.4,68,40,14.97,scattered clouds
6,Bengkulu,ID,-3.8004,102.2655,75.81,90,40,4.32,light rain
7,Busselton,AU,-33.65,115.3333,55.0,93,100,1.01,overcast clouds
8,Samarai,PG,-10.6167,150.6667,80.82,84,18,12.37,light rain
9,Pangai,TO,-19.8,-174.35,77.0,61,20,25.32,few clouds
10,Nikolskoye,RU,59.7035,30.7861,41.0,81,75,11.18,light rain
11,Torbay,CA,47.6666,-52.7314,43.0,87,90,10.36,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,59.0,82,13,6.91,few clouds
13,Sola,VU,-13.8833,167.55,82.4,89,90,9.22,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,44.6,76,0,3.44,clear sky
15,Sabang,ID,5.8933,95.3214,83.37,70,100,0.96,overcast clouds
16,Airai,TL,-8.9266,125.4092,57.36,93,96,2.08,overcast clouds
17,Havoysund,NO,70.9963,24.6622,35.6,93,90,6.91,overcast clouds
18,Sinnamary,GF,5.3833,-52.95,82.62,74,29,13.29,scattered clouds
19,Kavieng,PG,-2.5744,150.7967,82.08,76,100,6.64,light rain
20,Rawson,AR,-43.3002,-65.1023,68.76,41,100,18.12,overcast clouds
21,Chokurdakh,RU,70.6333,147.9167,21.88,95,100,5.39,overcast clouds
22,Lorengau,PG,-2.0226,147.2712,82.04,80,98,9.35,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,78.64,76,12,10.56,few clouds
24,Port Hedland,AU,-20.3167,118.5667,71.6,83,5,8.05,clear sky
25,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.4,83,90,9.22,overcast clouds
26,Chegutu,ZW,-18.1302,30.1407,60.19,42,2,5.26,clear sky
27,Bluff,NZ,-46.6,168.3333,55.0,96,78,1.99,light rain
28,Rovenki,UA,48.0833,39.3776,56.14,78,100,6.26,overcast clouds
29,Georgetown,MY,5.4112,100.3354,82.99,89,20,3.44,light rain
30,Bam,IR,29.106,58.357,81.75,26,99,5.08,overcast clouds
31,Villa Constitucion,AR,-33.2278,-60.3297,70.0,48,73,8.01,broken clouds
32,Saint-Augustin,CA,51.226,-58.6502,47.79,68,100,20.24,overcast clouds
33,Pevek,RU,69.7008,170.3133,5.5,98,99,4.61,overcast clouds
34,Krasnoselkup,RU,65.7,82.4667,32.54,92,100,7.0,overcast clouds
35,Kodiak,US,57.79,-152.4072,42.8,87,90,16.11,light rain
36,Mackenzie,CA,55.2999,-123.1698,48.2,53,40,11.5,scattered clouds
37,Saint George,US,37.1041,-113.5841,80.01,23,1,6.91,clear sky
38,Atuona,PF,-9.8,-139.0333,80.17,76,5,15.05,clear sky
39,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,73,75,3.44,broken clouds
40,Broken Hill,AU,-31.95,141.4333,53.6,94,90,6.67,overcast clouds
41,Saint Anthony,US,45.0205,-93.218,57.0,28,1,9.22,clear sky
42,Jamestown,US,42.097,-79.2353,48.99,61,75,10.36,broken clouds
43,Yellowknife,CA,62.456,-114.3525,48.2,43,75,16.11,broken clouds
44,Saskylakh,RU,71.9167,114.0833,32.74,98,100,11.14,light snow
45,Tasiilaq,GL,65.6145,-37.6368,30.2,86,75,8.05,broken clouds
46,Salalah,OM,17.0151,54.0924,84.2,74,20,9.22,few clouds
47,Port Elizabeth,ZA,-33.918,25.5701,60.8,94,90,25.32,light rain
48,Kloulklubed,PW,7.0419,134.2556,78.8,89,75,16.22,broken clouds
49,Khatanga,RU,71.9667,102.5,18.03,95,100,6.67,overcast clouds
50,Vung Tau,VN,10.346,107.0843,83.71,76,100,14.94,overcast clouds
51,Hilo,US,19.7297,-155.09,75.2,64,75,6.91,light rain
52,Qaanaaq,GL,77.484,-69.3632,26.22,82,94,0.38,overcast clouds
53,Paoua,CF,7.2427,16.4406,71.13,87,100,2.91,light rain
54,Pangnirtung,CA,66.1451,-65.7125,35.6,87,75,12.66,broken clouds
55,Saint-Denis,FR,48.9167,2.3333,69.8,46,0,13.8,clear sky
56,Dunedin,NZ,-45.8742,170.5036,62.01,64,100,1.99,light rain
57,Deputatskiy,RU,69.3,139.9,17.2,97,97,1.99,overcast clouds
58,Nelson Bay,AU,-32.7167,152.15,61.0,94,40,4.61,moderate rain
59,Umm Kaddadah,SD,13.6017,26.6876,85.95,31,16,7.36,few clouds
60,Kapaa,US,22.0752,-159.319,77.0,69,40,13.8,light rain
